CSS品質チェック ベースラインレポート
============================================================
エラー: 0 件 / 警告: 122 件
[WARNING] css/pages/aws-ebs-fsr-infographic.css:41 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-ec2-capacity-infographic.css:13 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-ec2-capacity-infographic.css:21 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-efs-mount-target-infographic.css:15 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-eni-infographic.css:20 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-eni-infographic.css:39 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-errors-infographic.css:15 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-eventbridge-infographic.css:26 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-eventbridge-infographic.css:28 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-eventbridge-infographic.css:38 [no-global-tag-selector] グローバルタグセレクタ `h3 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-gateways.css:13 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-gateways.css:18 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-managed-vs-customer-managed-policies.css:312 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-migration-hub-infographic.css:25 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-migration-hub-infographic.css:48 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-organization-control-tower.css:15 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
